YY/MM/DD,Hour:Min:Sec,r1,r2,MS5803_T,pressure,therm_T
2021/4/2,6:22:18,54.31,53.11,9.267193,1298.221,7.747528
2021/4/2,6:27:19,54.93,53.53,9.267193,1301.797,7.755377
2021/4/2,6:32:20,56.44,54.74,9.267193,1304.607,7.758499
2021/4/2,6:37:21,57.39,55.73,9.267193,1307.927,7.736966
2021/4/2,6:42:21,55.23,53.68,9.267193,1311.248,7.740184
2021/4/2,6:47:22,58.54,57.27,9.248371,1315.543,7.728005
2021/4/2,6:52:23,58.39,56.56,9.248371,1319.118,7.736862
2021/4/2,6:57:24,50.46,48.69,9.248371,1322.439,7.724891
2021/4/2,7:2:24,36.58,33.82,9.286011,1325.088,7.751149
2021/4/2,7:7:25,34.17,30.97,9.286011,1328.409,7.791408
2021/4/2,7:12:26,29.72,27.17,9.342457,1332.129,7.81738
2021/4/2,7:17:27,26.02,23.99,9.342457,1334.684,7.848393
2021/4/2,7:22:27,25.49,22.67,9.361268,1336.776,7.83933
2021/4/2,7:27:28,24.02,21.41,9.342457,1339.027,7.842955
2021/4/2,7:32:29,22.58,20.09,9.361268,1342.141,7.847185
2021/4/2,7:37:30,20.86,18.64,9.342457,1344.392,7.839331
2021/4/2,7:42:30,18.61,16.00,9.323643,1345.876,7.82493
2021/4/2,7:47:31,18.78,15.88,9.304829,1347.615,7.808217
2021/4/2,7:52:32,18.09,15.49,9.304829,1350.17,7.803183
2021/4/2,7:57:33,17.55,14.99,9.286011,1351.398,7.800164
2021/4/2,8:2:33,17.12,14.14,9.286011,1352.931,7.781645
2021/4/2,8:7:34,16.72,14.36,9.267193,1352.882,7.771077
2021/4/2,8:12:35,16.15,13.71,9.267193,1353.648,7.758597
2021/4/2,8:17:36,16.27,13.24,9.248371,1354.876,7.752458
2021/4/2,8:22:36,15.66,13.09,9.248371,1355.132,7.743804
2021/4/2,8:27:37,15.31,12.86,9.229549,1354.061,7.742198
2021/4/2,8:32:38,15.18,12.44,9.229549,1354.317,7.725296
2021/4/2,8:37:39,15.48,12.50,9.210725,1354.268,7.72006
2021/4/2,8:42:39,14.63,12.45,9.210725,1353.757,7.715632
2021/4/2,8:47:40,15.22,12.07,9.229549,1352.784,7.721768
2021/4/2,8:52:41,14.73,11.94,9.210725,1352.736,7.709999
2021/4/2,8:57:42,15.05,12.07,9.191899,1351.92,7.707084
2021/4/2,9:2:42,14.69,11.91,9.210725,1349.926,7.702353
2021/4/2,9:7:43,14.39,11.81,9.191899,1348.6,7.698033
2021/4/2,9:12:44,14.58,11.75,9.210725,1346.095,7.708595
2021/4/2,9:17:45,14.36,11.51,9.191899,1344.004,7.693911
2021/4/2,9:22:45,14.73,11.77,9.191899,1340.428,7.704871
2021/4/2,9:27:46,14.26,11.82,9.191899,1337.875,7.690086
2021/4/2,9:32:47,14.11,11.56,9.210725,1334.603,7.694308
2021/4/2,9:37:48,13.91,11.76,9.229549,1330.82,7.698938
2021/4/2,9:42:48,13.97,12.19,9.210725,1327.452,7.703062
2021/4/2,9:47:49,13.87,11.78,9.229549,1324.69,7.708997
2021/4/2,9:52:50,14.07,12.38,9.229549,1321.115,7.706983
2021/4/2,9:57:51,13.68,12.00,9.229549,1316.517,7.720463
2021/4/2,10:2:51,14.89,13.36,9.248371,1312.733,7.736865
2021/4/2,10:7:52,13.36,12.50,9.248371,1309.157,7.723182
2021/4/2,10:12:53,18.66,17.73,9.286011,1304.909,7.784164
2021/4/2,10:17:54,23.24,22.87,9.342457,1300.962,7.809527
2021/4/2,10:22:54,22.46,21.36,9.323643,1296.318,7.796541
